Train_id,Train_name,Train_no,Source,Destitnation,Date,Distance(Km),Sc_arr__time,Act_arr_time,Dealy_min,Season,Run_frequency,Total_Delay_Minutes
E1,Begampura Express,12238,Varanasi,Jammu,2016-01-04,1260,06:30:00,07:45:00,01:15:00,Winter,Daliy,72.94161107895245
E2,Begampura Express,12238,Varanasi,Jammu,2016-12-29,1260,06:30:00,06:50:00,00:20:00,Winter,Daliy,22.360582228802475
E3,Begampura Express,12238,Varanasi,Jammu,2018-01-09,1260,06:30:00,08:00:00,01:30:00,Winter,Daliy,70.58655844329436
E4,Begampura Express,12238,Varanasi,Jammu,2018-12-26,1260,06:30:00,06:40:00,00:10:00,Winter,Daliy,32.74543414740217
E5,Begampura Express,12238,Varanasi,Jammu,2019-12-23,1260,06:30:00,07:00:00,00:30:00,Winter,Daliy,34.08448649909869
E6,Begampura Express,12238,Varanasi,Jammu,2021-06-24,1260,06:30:00,06:35:00,00:05:00,Winter,Daliy,0.0
E7,Begampura Express,12238,Varanasi,Jammu,2022-01-04,1260,06:30:00,07:10:00,00:40:00,Winter,Daliy,34.38983401817918
E8,Begampura Express,12238,Varanasi,Jammu,2023-01-06,1260,06:30:00,08:00:00,01:30:00,Winter,Daliy,94.65556327878751
E9,Begampura Express,12238,Varanasi,Jammu,2023-12-27,1260,06:30:00,06:45:00,00:15:00,Winter,Daliy,23.8637491185487
E10,Begampura Express,12238,Varanasi,Jammu,2024-12-30,1260,06:30:00,07:20:00,00:50:00,Winter,Daliy,68.80706510725278
G1,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2016-01-23,1754,10:00:00,11:20:00,01:20:00,Winter,Weekly,77.025258400933
G2,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2017-06-27,1754,10:00:00,10:45:00,00:45:00,Winter,Weekly,41.22442170739282
G3,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2018-05-29,1754,10:00:00,10:30:00,00:30:00,Winter,Weekly,4.4256308645758615
G4,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2019-05-04,1754,10:00:00,10:10:00,00:10:00,Winter,Weekly,24.368245565505784
G5,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2020-03-24,1754,10:00:00,10:20:00,00:20:00,Winter,Weekly,23.253097939198526
G6,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2021-02-06,1754,10:00:00,10:10:00,00:10:00,Winter,Weekly,49.15980295635554
G7,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2022-01-09,1754,10:00:00,12:00:00,02:00:00,Winter,Weekly,130.14497529950103
G8,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2023-06-22,1754,10:00:00,11:00:00,01:00:00,Winter,Weekly,77.98236955482855
G9,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2024-05-25,1754,10:00:00,10:35:00,00:35:00,Winter,Weekly,40.92329084384241
G10,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2025-04-09,1754,10:00:00,11:15:00,01:15:00,Winter,Weekly,118.53050793287234
E1,Begampura Express,12238,Varanasi,Jammu,2015-12-22,1260,06:30:00,07:45:00,01:15:00,Winter,Daliy,104.44699236952398
E2,Begampura Express,12238,Varanasi,Jammu,2016-12-26,1260,06:30:00,06:50:00,00:20:00,Winter,Daliy,25.84038805127265
E3,Begampura Express,12238,Varanasi,Jammu,2017-12-24,1260,06:30:00,08:00:00,01:30:00,Winter,Daliy,92.93604500015648
E4,Begampura Express,12238,Varanasi,Jammu,2019-01-04,1260,06:30:00,06:40:00,00:10:00,Winter,Daliy,21.454096844817336
E5,Begampura Express,12238,Varanasi,Jammu,2020-01-05,1260,06:30:00,07:00:00,00:30:00,Winter,Daliy,33.105434527341075
